State and County FIPS Code,Actual Per Capita Costs
2013,6096.02
2016,13278.86
2020,8527.95
2050,10697.06
2060,9954.49
2068,5375.49
2070,11966.11
2090,7637.77
2100,7760.6
2105,6701.81
2110,7517.35
2122,8390.71
2130,10092.6
2150,10858.32
2164,12155.85
2170,8358.6
2180,13842.02
2185,15681.19
2188,12700.63
2195,8945.95
2198,7715.87
2220,12017.1
2230,7635.99
2240,7562.89
2999,*
2261,9073.93
2270,11561.42
2275,13107.07
2282,10471.99
2290,7020.95
,8677.32
1001,7916.6
1003,7835.91
1005,8912.21
1007,9208.53
1009,8297.81
1011,8789.91
1013,9077.47
1015,9063.17
1017,7409.47
1019,8974.5
1021,8955.73
1023,10232.16
1025,8372.83
1027,8218.4
1029,9049.21
1031,7851.54
1033,8706.86
1035,8857.69
1037,8701.82
1039,8794.29
1041,8594.77
1043,8560.55
1045,8372.48
1047,9200.98
1049,7950.45
1051,8143.89
1053,9795.38
1055,9744.71
1057,8692.43
1059,8882.27
1061,8032.23
1063,9344.48
1065,8436.16
1067,8405.1
1069,8363.48
1071,8887.8
1073,9034.43
1075,8393.15
1077,7942.13
1079,8298.06
1081,7416.12
1083,8903.64
1085,9079.65
1087,7592.67
1089,9009.73
1091,8666.46
1093,8552.06
1095,8722.44
1097,8872.09
1099,8112.26
1101,8558.6
1103,8464.54
1105,8844.52
1107,8467.79
1109,8839.65
1111,8571.12
1113,9045.37
1117,8414.87
1115,8878.08
1119,8920.84
1121,8871.74
1123,8543.29
1125,9284.81
1999,*
1127,9035.99
1129,8004.88
1131,7934.61
1133,9171.31
,8300.6
5001,7989.83
5003,9256.27
5005,7376.26
5007,8366.01
5009,7261.43
5011,9716.56
5013,8271.92
5015,7085.04
5017,9495.26
5019,7276.52
5021,8623.55
5023,7154.66
5025,8174.63
5027,8618.27
5029,7935.53
5031,8308.35
5033,8287.55
5035,9131.41
5037,8433.46
5039,8524.44
5041,10623.88
5043,9779.03
5045,7998.26
5047,8324.21
5049,7803.71
5051,8368.33
5053,8319.4
5055,8179.26
5057,8702.71
5059,8409.65
5061,8763.16
5063,8740.93
5065,7781.51
5067,9674.48
5069,8212.39
5071,7176.44
5073,9143.34
5075,8540.16
5077,8538.92
5079,8529.18
5081,10445.83
5083,8481.76
5085,8377.49
5087,6778.6
5089,6984.24
5091,8958.09
5093,8724.44
5095,9164.06
5097,7328.89
5099,7744.35
5101,6212.14
5103,8000.5
5105,7381.73
5107,8455.98
5109,7857.03
5111,9115.4
5113,7752.96
5115,7798.45
5117,8270.49
5119,8548.24
5121,7869.45
5125,8452.15
5127,7752.08
5129,7293.79
5131,8446.27
5133,9251.21
5135,8516.88
5123,8523.07
5137,8159.69
5999,*
5139,7897.44
5141,7701.81
5143,7880.74
5145,8434.72
5147,9612.34
5149,9237.63
,8911.07
4001,9773.37
4003,8077.15
4005,9144.73
4007,9150.93
4009,7329.94
4011,6255.24
4012,9440.34
4013,9324.92
4015,8633.79
4017,9206.65
4019,8104.89
4021,9184.19
4023,6257.71
4999,*
4025,7872.69
4027,9382.06
,10821.82
6001,11237.14
6003,7127.67
6005,9017.57
6007,9496.35
6009,8667.91
6011,9525.93
6013,10715.94
6015,8258.11
6017,9199.49
6019,10321.5
6021,9403.12
6023,7790.17
6025,10315.4
6027,10464.37
6029,11055.87
6031,9682.18
6033,10179.49
6035,8500.95
6037,13853.95
6039,8572
6041,9717.72
6043,9129.88
6045,8205.94
6047,10083.53
6049,7462.16
6051,9360.81
6053,9360.05
6055,9857.64
6057,7974.44
6059,11264.81
6061,9051.09
6063,8289.11
6065,10832.95
6067,10077.59
6069,9893.42
6071,11520.7
6073,10298.26
6075,10445.47
6077,10012.66
6079,7986.48
6081,9568.78
6083,8653.25
6085,10297.31
6087,8984.46
6089,9178.94
6091,8611.6
6093,7743.85
6095,9417.56
6097,9537.96
6099,10253.01
6101,9150.24
6103,8186.46
6105,8001.53
6107,9185.05
6109,9259.1
6999,*
6111,10500.66
6113,8316.35
6115,9280.4
,8286.35
8001,9810.12
8003,6903.13
8005,9490.26
8007,6989.06
8009,9974.98
8011,7677.27
8013,7916.26
8014,8434.07
8015,7321.77
8017,8803.62
8019,6431.48
8021,8323.23
8023,5434.87
8025,7940.73
8027,5784.13
8029,6276.44
8031,9473.87
8033,7474.06
8035,8832.87
8037,7180.12
8041,7865.42
8039,7624.12
8043,7525.9
8045,7823.96
8047,7611.97
8049,8223.75
8051,6670.14
8053,4845.52
8055,6288.51
8057,7907.7
8059,8769.59
8061,11128.75
8063,10017.61
8067,7013.04
8065,8259.48
8069,7605.1
8071,8175.61
8073,10572.79
8075,8693.34
8077,6776.06
8079,5677.53
8081,9388.24
8083,6758.12
8085,6787.61
8087,8966.97
8089,7943.72
8091,5011.71
8093,6222.35
8095,12963.78
8097,8780.72
8099,9061.1
8101,8337.91
8103,10481.67
8105,8188.24
8107,7128.64
8109,5669.81
8111,3934.5
8113,6267.18
8115,8029.51
8117,6040.8
8119,7126.11
8999,*
8121,9170.39
8123,8627.12
8125,10691.67
,11315.89
9001,11502.52
9003,11051.86
9005,10184.01
9007,10637.07
9009,12344.93
9011,10787.91
9013,10288.8
9999,*
9015,10758.81
,11639.7
11001,11639.7
,10104.68
10001,10259.88
10003,10250.4
10005,9810.94
10999,*
,10996.39
12001,10571.11
12003,11599.24
12005,10323.87
12007,10519.05
12009,9993.89
12011,13299.25
12013,10037.47
12015,9909.82
12017,9625.62
12019,10645.11
12021,9390.54
12023,10874.55
12027,10510.82
12029,9955.81
12031,11838.72
12033,9434.62
12035,9135.52
12037,9109.4
12039,9471.95
12041,10160.1
12043,11545.1
12045,9852.98
12047,9797.73
12049,11148.11
12051,11134.99
12053,10686.46
12055,10998.57
12057,11559.6
12059,9327.93
12061,9508.34
12063,9045.54
12065,10229.03
12067,11208.72
12069,10170.92
12071,9741.7
12073,9298.23
12075,10102.38
12077,9553.53
12079,9199.48
12081,9965
12083,9999.68
12085,10065.9
12086,16360.46
12087,9174.81
12089,9576.27
12091,9143.13
12093,12283.68
12095,11438.45
12097,10957.62
12099,12269.63
12101,10693.35
12103,11674.14
12105,10406.35
12107,10810.18
12113,9100.13
12115,9381.4
12117,11071.18
12109,9683.75
12111,10819.42
12119,8968.59
12121,9659.94
12123,8954.46
12999,*
12125,11085.12
12127,9771.09
12129,9549.74
12131,8762.67
12133,8980.83
,9190.46
13001,8930.01
13003,8809.02
13005,11086.9
13007,9868.26
13009,9604.31
13011,8397.29
13013,9311.37
13015,9885.09
13017,8483.05
13019,8704.52
13021,10702.8
13023,9407.74
13025,9032
13027,9598.84
13029,8415.77
13031,9861.73
13033,9221.01
13035,8403.05
13037,9752.78
13039,9241.53
13043,9927.65
13045,8910.68
13047,9237.67
13049,10408.85
13051,9370.45
13053,10350.15
13055,8640.38
13057,8848.37
13059,8684.18
13061,7975.55
13063,10294.38
13065,12218
13067,9156.49
13069,10278.43
13071,10338
13073,8143.5
13075,8924
13077,8534.55
13079,9769.23
13081,8826.59
13083,9406.59
13085,8554.09
13089,9640.58
13087,7593.49
13091,9907.27
13093,8928.12
13095,9197.34
13097,9787.98
13099,9461.77
13101,8418.26
13103,8524.68
13105,7793.67
13107,9545.6
13109,8967.55
13111,8293.9
13113,8152.65
13115,9617.67
13117,9163.47
13119,8771.12
13121,10154.7
13123,8298.7
13125,9538.96
13127,8875.48
13129,8887.89
13131,8238.17
13133,8295.44
13135,9012.48
13137,8141.88
13139,8818.19
13141,9349.01
13143,8900.87
13145,7780.36
13147,8791.64
13149,9174.63
13151,8560.35
13153,9801.72
13155,8502.98
13157,8640.18
13159,8556.03
13161,9498.37
13163,9569.32
13165,10062.36
13167,8848.85
13169,8965.52
13171,9357.44
13173,11470.71
13175,9247.27
13177,8070.47
13179,9161.35
13181,8325.68
13183,10110.72
13185,8765.75
13187,8673.22
13193,9263.28
13195,8367.37
13197,7782.47
13189,9800.78
13191,8791.31
13199,9644.9
13201,10597.44
13205,9853.23
13207,9740.83
13209,8901.78
13211,7974.74
13213,8594.41
13215,9483.13
13217,9404.95
13219,7955.11
13221,9106.32
13223,9296.93
13225,9938.88
13227,8233.88
13229,8274.59
13231,8752.09
13233,9784.9
13235,9355.99
13237,8751.56
13239,8029.33
13241,8346.8
13243,8201.2
13245,8836.48
13247,9695.88
13249,8943.5
13251,9090.61
13253,8964.82
13255,9059.07
13257,9104.04
13259,8409.12
13261,8247.32
13263,9194.54
13265,8607.35
13267,9276.42
13269,9323.99
13271,10471.92
13273,8550.88
13275,8893.03
13277,9186.06
13279,9093.28
13281,7207.51
13283,9886.68
13285,9018.6
13287,10259.27
13289,10161.43
13999,*
13291,7321.41
13293,8375.99
13295,9134.46
13297,9579.15
13299,9195.26
13301,9610.6
13303,8868.98
13305,10609.36
13307,7024.97
13309,10704.21
13311,8671.06
13313,8094.34
13315,11022.85
13317,9651.16
13319,9765.82
13321,8507.74
,7279.2
15001,6743.47
15003,7474.71
15007,6621.12
15009,7339.93
15999,*
,8056.53
19001,7937.92
19003,9068.21
19005,6898.4
19007,8603.71
19009,9586.08
19011,7869.33
19013,8804.56
19015,7845.37
19017,9201.78
19019,9068.83
19021,8155.07
19023,8698.42
19025,8980.99
19027,6897.19
19029,9298.79
19031,7096.52
19033,7653.66
19035,7556.4
19037,9212.2
19039,9861.33
19041,7382.36
19043,7612.68
19045,8814.97
19047,7392.41
19049,7420.52
19051,8759.55
19053,7558.81
19055,8298.39
19057,7563.81
19059,6790.44
19061,7225.54
19063,8932.06
19065,9647.83
19067,8072.84
19069,8725.38
19071,11162.24
19073,8299.61
19075,8629.3
19077,8900.63
19079,9257.09
19081,9565.8
19083,8648.39
19085,8768.5
19087,7175.96
19089,7744.25
19091,7587.56
19093,9040.63
19095,8514.63
19097,7614.32
19099,6540.36
19101,7680.32
19103,7244.67
19105,8664.06
19107,9041.72
19109,7598.77
19111,7264.43
19113,7867.64
19115,7185.73
19117,8621.91
19119,8355.38
19121,7497.58
19123,7430.69
19125,8139.72
19127,7385.25
19129,7588.49
19131,7731.29
19133,8714.78
19135,7510.56
19137,9316.09
19139,8361.44
19141,8642.59
19143,7625.29
19145,9764.32
19147,8299.3
19149,8113.01
19151,7895.6
19153,7462.18
19155,8155.35
19157,7321.2
19159,9552.53
19161,9130.63
19163,8799.85
19165,9368.56
19167,8482.8
19169,7336.11
19171,8386.12
19173,9479.26
19999,*
19175,7145.38
19177,9206.82
19179,8315.27
19181,7375.31
19183,8446.9
19185,8553.53
19187,7470.88
19189,7893.71
19191,7436.19
19193,8406.71
19195,7596.41
19197,10880.66
,7871.14
16001,7762.1
16003,6787.15
16005,8982.74
16007,8021.99
16009,7468.1
16011,8207.9
16013,7630.96
16015,7266.79
16017,6601.81
16019,8521.67
16021,6566
16023,8872.67
16025,5650.64
16027,8047.2
16029,8504.14
16031,7660.23
16033,3772.63
16035,8339.42
16037,6518.26
16039,7273.92
16041,8133.2
16043,7687.27
16045,7459.89
16047,9204.02
16049,7124.94
16051,8124.15
16053,9699.83
16055,7601.65
16057,7475.08
16059,6559.04
16061,8231.21
16063,6992.74
16065,6651.12
16067,6858.79
16069,8152.29
16071,9165.69
16073,7241.1
16075,7459.53
16077,7797.6
16079,8001.67
16081,9168.23
16083,8547.77
16999,*
16085,8208.86
16087,7264.44
,10111.5
17001,9127.33
17003,7952.58
17005,9227.11
17007,8661.82
17009,8322.12
17011,8344.38
17013,7787.71
17015,8081.75
17017,8107.92
17019,8634.4
17021,8459.69
17023,8382.3
17025,9292.81
17027,8552.88
17029,9602.01
17031,11721.15
17033,8453.66
17035,9360.99
17037,9038.13
17039,8993.11
17041,8732.96
17043,9622.52
17045,9612.58
17047,8239.6
17049,8108.23
17051,8683.42
17053,9414.73
17055,9359.69
17057,8125.9
17059,8233.49
17061,10387.05
17063,10021.58
17065,8813.7
17067,7473.25
17069,9326.95
17071,8158.4
17073,8175.66
17075,9911.85
17077,8969.68
17079,8638.94
17081,9216.35
17083,8200.14
17085,7884.64
17087,7248.84
17089,10084.54
17091,10385.25
17093,9415.78
17095,8501.94
17099,9053.37
17097,9842.02
17101,9297.29
17103,8429.25
17105,8534.27
17107,8319.23
17115,8733.93
17117,8740.47
17119,9103.44
17121,10063.49
17123,8223.5
17125,9007.19
17127,9003.32
17109,7865.07
17111,9598.4
17113,7598.49
17129,7914.69
17131,8151.84
17133,8983.97
17135,8723.58
17137,8845.96
17139,9176.89
17141,9331.92
17143,8276.19
17145,9141.28
17147,10463.05
17149,9050.05
17151,6794.3
17153,10204.94
17155,6933.93
17157,9460
17159,8998.03
17161,8808.87
17165,8758.59
17167,8635.46
17169,8536.78
17171,9040.41
17173,8287.89
17163,9648.28
17175,7881.52
17177,8489.5
17179,8279.16
17999,*
17181,7771.05
17183,9046.85
17185,9256.76
17187,8291.39
17189,9445.16
17191,8215.72
17193,8546.23
17195,9143.85
17197,10546.72
17199,8751.97
17201,9024.98
17203,8443.86
,9462.2
18001,8752.52
18003,8913.44
18005,8667.68
18007,8928.32
18009,9563.52
18011,9489.24
18013,7143.51
18015,8491.67
18017,9284.87
18019,10581.69
18021,9505.21
18023,9448.69
18025,8947.9
18027,9712.52
18033,8618.73
18029,8671.9
18031,8586.3
18035,9374.12
18037,7944.26
18039,8742.96
18041,8753.56
18043,9640.84
18045,8449.91
18047,7677.36
18049,8257.2
18051,9712.24
18053,9084.88
18055,9315.02
18057,8917.75
18059,8474.54
18061,8949.06
18063,9142.85
18065,9273.21
18067,9342.06
18069,8015.9
18071,7896.89
18073,9785.07
18075,8684.62
18077,8875.03
18079,7972.61
18081,8695.8
18083,10069.45
18085,8054.82
18087,6948.88
18091,9100.79
18089,11635.4
18093,8551.97
18095,9622.78
18097,10905.4
18099,8577.26
18101,7861.79
18103,8291.6
18105,7621.33
18107,8516.94
18109,8415.59
18111,9596.97
18113,7917.36
18115,9643.39
18117,8603.64
18119,8064.21
18121,8519.86
18123,8723.37
18125,7947.22
18127,10074.11
18129,9133.36
18131,9015.38
18133,9136.77
18135,8455.57
18137,8325.24
18139,8512.28
18143,10048.72
18145,9720.28
18147,8035.92
18141,8994.14
18149,8995.35
18151,8069.59
18153,9424.42
18155,9045.28
18157,9386.83
18159,9473.21
18999,*
18161,8083.03
18163,9630.27
18165,9965.35
18167,10369.18
18169,8050.73
18171,8405.75
18173,8434.33
18175,9565.49
18177,9838.3
18179,8396.97
18181,8907.99
18183,7691.47
,8873.95
20001,8894.97
20003,9684.48
20005,9294.02
20007,9537.6
20009,9235.63
20011,7870.32
20013,9951.8
20015,7870.38
20017,7264.8
20019,8909.8
20021,8887.17
20023,11940.03
20025,12233.87
20027,9022.63
20029,8124.68
20031,8525.05
20033,11324.11
20035,7696.99
20037,8940.31
20039,10836.18
20041,8666.5
20043,8737.02
20045,7839.32
20047,8853.98
20049,8644.86
20051,9125.6
20053,9414.75
20055,7740.21
20057,8203.55
20059,8357.46
20061,8133.5
20063,11401.77
20065,11574.27
20067,6610.19
20069,7251.85
20071,10598.74
20073,9688.22
20075,9940.91
20077,10358.3
20079,8213.58
20081,10460.77
20083,9245.6
20085,8893.62
20087,7563.65
20089,10311.42
20091,9126.27
20093,8867
20095,10070.16
20097,9297.92
20099,8892.74
20101,13442.2
20103,9025.19
20105,11902.22
20107,8253.47
20109,13239.83
20111,8151.25
20115,8499.7
20117,8690.64
20113,7977.89
20119,10339.97
20121,8612.33
20123,8708.27
20125,8344.79
20127,8298.16
20129,8409.22
20131,9014.16
20133,10224.32
20135,11230
20137,9210.49
20139,8062.45
20141,10817.5
20143,8871.28
20145,12947.18
20147,10965.97
20149,9512.43
20151,9054.52
20153,11651.44
20155,8512.94
20157,8053.78
20159,8881.25
20161,7388.36
20163,9764.85
20165,9876.13
20167,10417.54
20169,8233.63
20171,10799.3
20173,8635.71
20175,8613.24
20177,8649.8
20179,11672
20181,10577.86
20183,9148.78
20185,9256.91
20187,11550.1
20189,9488.09
20191,7228.49
20193,10834.02
20195,12673.28
20999,*
20197,8216.62
20199,10603.17
20201,9336.75
20203,12394.24
20205,9614.36
20207,9299.86
20209,11052.86
,8914.39
21001,8475.39
21003,9136.04
21005,8806.4
21007,8251.04
21009,8428.8
21011,7960.05
21013,8909.4
21015,9668.18
21017,8756.74
21019,9512.43
21021,8635.03
21023,7921.89
21025,9106.14
21027,8538.85
21029,8955.56
21031,8711.33
21033,7372.32
21035,7721.09
21037,9657.03
21039,9311.95
21041,9439.42
21043,8301.54
21045,9891.96
21047,8341.02
21049,9147.73
21051,9805.31
21053,9705.68
21055,9386.24
21057,10961.74
21059,8812.37
21061,9508.77
21063,7456.25
21065,8614.49
21067,9164.54
21069,9366.67
21071,8911.43
21073,12062.96
21075,9354.13
21077,11214.45
21079,8266.6
21081,9466.91
21083,8897.93
21085,8962.41
21087,9800.11
21089,9440.71
21091,7813.86
21093,8119.4
21095,7706.16
21097,8115.02
21099,8663.61
21101,8986.83
21103,9364.64
21105,9247.79
21107,7719.22
21109,7451.08
21111,9446.34
21113,8267.2
21115,8519.14
21117,9704.83
21119,8590.88
21121,8266.28
21123,7709.2
21125,8197.3
21127,8171.06
21129,8185.62
21131,9165.51
21133,9037.17
21135,9845.94
21137,8404.72
21139,8538.94
21141,8852.39
21143,8175.21
21151,8561.9
21153,8922.51
21155,8062.86
21157,7974.7
21159,8223.41
21161,9138.47
21145,8527.88
21147,8410.47
21149,8714.9
21163,8532.73
21165,7593.48
21167,8989.48
21169,9079.88
21171,9540.1
21173,8986.03
21175,9439.88
21177,8213.96
21179,8353.45
21181,8163.23
21183,7544.56
21185,8259.54
21187,9633.45
21189,8829.3
21191,8904.59
21193,10074.15
21195,8325.31
21197,9113.47
21199,8132.66
21201,8288.47
21203,9097.98
21205,9335.92
21207,8113.14
21209,8834.13
21211,8723.24
21213,10171.51
21215,9557.05
21217,8955.98
21219,8269.04
21221,8218.36
21223,9434.58
21999,*
21225,8952.84
21227,9409.95
21229,8511.52
21231,8040.68
21233,9085.83
21235,9034.1
21237,8606.85
21239,7958.18
,10543.57
22001,10062.84
22003,9513.52
22005,10079.56
22007,9537.41
22009,10629.09
22011,10908.5
22013,12196.83
22015,10535.85
22017,11003.42
22019,9597.77
22021,13071.64
22023,8561.5
22025,10509.26
22027,11361.95
22029,11162.74
22031,10898.8
22033,10454.7
22035,12234.21
22037,10556
22039,11551.74
22041,12155.95
22043,9172.06
22045,9310.96
22047,10853.5
22049,10349.1
22051,10431.67
22053,10355.77
22059,11277.99
22055,9781.34
22057,9033.77
22061,9943.88
22063,10827.41
22065,12529.75
22067,11341.07
22069,10472.75
22071,11807.26
22073,10996.06
22075,10860.77
22077,10560.39
22079,9943.17
22081,13904.89
22083,11637.69
22085,9392.95
22087,12699.37
22089,9818
22091,13151
22093,9483.24
22095,10055.5
22097,10552.13
22099,9712.6
22101,9819.26
22103,10995.41
22105,12459.84
22107,10632.28
22109,9025.59
22999,*
22111,11638.61
22113,9460.14
22115,10438.81
22117,12610.82
22119,10734.04
22121,11390.06
22123,11256.6
22125,12312.45
22127,11250.83
,10894.7
25001,10493.77
25003,10204.22
25005,10602.39
25007,10368.02
25009,10714.81
25011,8882.6
25013,10118.34
25015,8959.52
25017,10943.3
25019,9793.52
25021,11558.59
25023,11280.54
25025,12506.94
25999,*
25027,10840.14
,11328.87
24001,11413.56
24003,10380.4
24005,12187.38
24510,15258.4
24009,10276.19
24011,11556.35
24013,10799.02
24015,11479.31
24017,10486.5
24019,12166.63
24021,10201.62
24023,8651.76
24025,11200.39
24027,9850.33
24029,11938.02
24031,9677.41
24033,11636.68
24035,10196.21
24039,10801.31
24037,10558.98
24041,10968.18
24999,*
24043,10443.92
24045,10925.95
24047,10485.11
,8283.59
23001,8169.54
23003,8205.29
23005,8517.88
23007,8481.34
23009,8874.71
23011,7925.98
23013,7925.19
23015,8363.76
23017,7749.54
23019,8467.71
23021,7875.62
23023,7656.97
23025,8746.15
23999,*
23027,7919.02
23029,8083.09
23031,8354.86
,10315
26001,7886.88
26003,7551.4
26005,8773.03
26007,8854.89
26009,8112.21
26011,9143.96
26013,8275.57
26015,8349.02
26017,9948.37
26019,8091.21
26021,8833.12
26023,8618.7
26025,9583.27
26027,8730.87
26029,7628.11
26031,8415.39
26033,8798
26035,8769.61
26037,9090.38
26039,8597.21
26041,7398.82
26043,7753.67
26045,9473.15
26047,7758.77
26049,12621.18
26051,8985.98
26053,7380.85
26055,8395.61
26057,9280.31
26059,8283.66
26061,7475.93
26063,10515.85
26065,10279.84
26067,8574.13
26069,8381.17
26071,9030.31
26073,8747.32
26075,10054.82
26077,8828.6
26079,7921.71
26081,9323.5
26083,7694.86
26085,8702.32
26087,10307.57
26089,7534.24
26091,8640.93
26093,9286.85
26095,8656.77
26097,8873.67
26099,11559.49
26101,8145.75
26103,7433.86
26105,8272.06
26107,7921.8
26109,7592.47
26111,8586.8
26113,7999.39
26115,10343.16
26117,8656.95
26119,7773.18
26121,9023.37
26123,8209.04
26125,11416.22
26127,8463.16
26129,9420.59
26131,6947.34
26133,8413.77
26135,9167.99
26137,8296.89
26139,8394.05
26141,8312.63
26143,8961.69
26145,10092.95
26151,9285.33
26153,8251.85
26155,9092.87
26147,9242.92
26149,8460.54
26157,9722.73
26999,*
26159,9353.88
26161,9757.16
26163,12857.22
26165,7866.37
,8776.7
27001,9335.14
27003,8984.31
27005,8205.82
27007,9383.35
27009,9239.05
27011,10616.12
27013,8068.98
27015,9005.19
27017,8399.69
27019,7544.53
27021,8291.07
27023,9563.78
27025,8546.85
27027,8573.24
27029,7987.81
27031,7213.01
27033,8895.77
27035,8014.39
27037,8965.22
27039,7627.18
27041,8677.84
27043,8209.98
27045,7607.48
27047,8535.41
27049,8670.8
27051,10617.12
27053,9567.96
27055,7690.59
27057,7827.63
27059,8614.53
27061,7512.61
27063,8431.2
27065,8021.14
27067,7874.84
27069,9238.22
27071,8247.76
27073,10798.64
27075,8211.13
27077,10428.35
27079,8223.25
27081,8971.54
27083,7838.68
27087,10773.19
27089,9857.77
27091,9052.02
27085,8633.65
27093,8484.89
27095,8724.55
27097,7547.71
27099,8592.93
27101,10010.78
27103,8736.79
27105,7650.52
27107,7820.85
27109,8003.33
27111,8239.29
27113,8092.02
27115,8964.18
27117,9639.36
27119,8831.72
27121,9880.92
27123,9375.67
27125,6034.85
27127,10740.92
27129,9352.49
27131,8219.75
27133,8890.74
27135,8670.88
27139,8288.48
27141,9501.66
27143,9144.7
27137,8063.78
27145,8326.69
27147,8476.7
27149,10424.62
27151,8747.29
27153,9158.09
27155,8893.31
27999,*
27157,7633.78
27159,9162.39
27161,8205.39
27163,8264.67
27165,9383.97
27167,8046.24
27169,8013.61
27171,9060.84
27173,9747.23
,9119.03
29001,9010.51
29003,9950.87
29005,9815.52
29007,8335.15
29009,8351.94
29011,9511.54
29013,8788
29015,7895.03
29017,7755.92
29019,7967.16
29021,10034.14
29023,8454.09
29025,8420.78
29027,8021.52
29029,7743.31
29031,7775.32
29033,9354.77
29035,7557.25
29037,9225.4
29039,8371.9
29041,8392.08
29043,7453.56
29045,7905.67
29047,9211.34
29049,8547.92
29051,7765.88
29053,7773.15
29055,8157.22
29057,8581.16
29059,8202.4
29061,9109.36
29063,9374.43
29065,8973
29067,7199.67
29069,9189.08
29071,9014.94
29073,8747.76
29075,10745.64
29077,8143.46
29079,9689.98
29081,10488.79
29083,9570.82
29085,7229.84
29087,8218.64
29089,8114.51
29091,7685.29
29093,10394.19
29095,9984.75
29097,8768.08
29099,9695.81
29101,9003.08
29103,8790.36
29105,8246.71
29107,9021.19
29109,7756.98
29111,8896.86
29113,10809.66
29115,9204.2
29117,10262.7
29121,9097.37
29123,9212.49
29125,8293.7
29127,8558.98
29119,8132.18
29129,7242.43
29131,7970.66
29133,8440.71
29135,7265.89
29137,8133.6
29139,8713.6
29141,7872.68
29143,8980.23
29145,8717.61
29147,8991.26
29149,6965.16
29151,7988
29153,7041.32
29155,9471.5
29157,9640.37
29159,8172.72
29161,9077.39
29163,9072.8
29165,8897.76
29167,8513.91
29169,8491.95
29171,11386.85
29173,7545
29175,9237.87
29177,9729.91
29179,8279.94
29181,8653.21
29195,8374.75
29197,10081.22
29199,12343.66
29201,8521.85
29203,7941.71
29205,8082.07
29183,9356.77
29185,10208.84
29187,9266.51
29189,9961.16
29510,12234.55
29186,10034.52
29207,8404.99
29209,7465.03
29211,9031.11
29213,7925.6
29215,7147.26
29999,*
29217,7605.35
29219,9158.46
29221,9279.86
29223,8164.36
29225,7488.46
29227,8171.87
29229,8434.46
,9636.3
28001,10032.53
28003,10032.12
28005,8696.66
28007,9674.66
28009,9099.54
28011,11720.47
28013,9063.18
28015,9761.14
28017,8386.89
28019,8500.44
28021,12245.38
28023,10898.18
28025,9272.99
28027,10840.64
28029,9052.03
28031,9835.66
28033,9519.7
28035,10251.24
28037,10790.01
28039,9758.63
28041,10204.14
28043,10056.34
28045,10083.5
28047,9559.6
28049,10113.34
28051,11062.37
28053,9406.76
28055,10608.96
28057,8343.65
28059,8780.78
28061,9409.8
28063,12294.54
28065,10193.71
28067,9578.25
28069,10334.41
28071,8010.06
28073,9006.12
28075,9594.89
28077,11067.88
28079,9858.06
28081,8362.31
28083,9751.82
28085,8749.22
28087,8636.92
28089,8786.75
28091,10601.46
28093,9785.78
28095,9139.91
28097,11445.74
28099,11652.57
28101,11190.47
28103,10390.19
28105,8009.09
28107,10172.71
28109,9510.33
28111,10752.95
28113,10062.4
28115,8163.92
28117,9859.9
28119,8764.92
28121,9080.85
28123,10986.54
28125,11378.05
28127,9408.22
28129,10359.29
28131,10428.8
28133,12669.95
28135,11065.39
28137,10099.44
